City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Vanimo,PG,2022-07-17 22:29:50,-2.6741,141.3028,77.0,85,100,2.86
222,Thompson,CA,2022-07-17 22:26:38,55.7435,-97.8558,80.76,47,75,10.36
223,Eureka,US,2022-07-17 22:28:32,40.8021,-124.1637,81.68,75,10,8.99
224,Imbituba,BR,2022-07-17 22:30:51,-28.24,-48.6703,58.08,85,100,3.0
225,Winnemucca,US,2022-07-17 22:30:51,40.973,-117.7357,100.45,12,0,9.22
226,Katsuura,JP,2022-07-17 22:30:52,35.1333,140.3,80.19,81,100,13.15
227,Kano,NG,2022-07-17 22:30:52,12.0001,8.5167,72.57,84,99,6.11
228,Ascension,US,2022-07-17 22:30:52,30.2169,-90.9001,93.2,67,40,0.0
229,Heihe,CN,2022-07-17 22:30:53,50.2441,127.4902,64.98,79,90,4.47
230,Castro,BR,2022-07-17 22:30:53,-24.7911,-50.0119,61.72,90,100,2.55
231,Antofagasta,CL,2022-07-17 22:30:54,-23.65,-70.4,56.48,83,3,5.91
232,Saint George,US,2022-07-17 22:28:51,37.1041,-113.5841,108.63,16,0,13.8
233,Caravelas,BR,2022-07-17 22:30:54,-17.7125,-39.2481,71.92,85,5,6.15
234,Kodiak,US,2022-07-17 22:26:16,57.79,-152.4072,62.11,59,100,6.91
235,Carnarvon,AU,2022-07-17 22:30:55,-24.8667,113.6333,57.27,94,40,5.75
236,San Carlos De Bariloche,AR,2022-07-17 22:30:07,-41.1456,-71.3082,35.24,100,100,13.8
237,Hithadhoo,MV,2022-07-17 22:30:56,-0.6,73.0833,79.07,78,100,20.94
238,Cidreira,BR,2022-07-17 22:30:56,-30.1811,-50.2056,52.0,75,13,7.85
239,Bilibino,RU,2022-07-17 22:30:56,68.0546,166.4372,36.1,61,99,21.9
240,Saint-Pierre,RE,2022-07-17 22:30:57,-21.3393,55.4781,67.68,67,75,19.57
241,Bubaque,GW,2022-07-17 22:30:57,11.2833,-15.8333,80.4,85,100,13.85
242,Georgetown,MY,2022-07-17 22:30:58,5.4112,100.3354,82.89,92,20,0.0
243,Kirovskiy,RU,2022-07-17 22:30:58,45.0917,133.5136,62.6,92,99,3.6
244,Brejo Da Madre De Deus,BR,2022-07-17 22:30:58,-8.1458,-36.3711,63.34,94,66,8.46
245,Eufaula,US,2022-07-17 22:30:59,31.8913,-85.1455,91.44,40,0,3.44
246,Pauini,BR,2022-07-17 22:30:59,-7.7136,-66.9764,75.76,86,91,2.93
247,Mount Darwin,ZW,2022-07-17 22:31:00,-16.7725,31.5838,58.53,64,100,4.29
248,Bandundu,CD,2022-07-17 22:31:00,-3.3167,17.3667,82.44,45,92,2.55
249,Opelousas,US,2022-07-17 22:26:37,30.5335,-92.0815,87.82,70,0,10.36
250,Salantai,LT,2022-07-17 22:31:01,56.0667,21.5667,60.3,94,55,7.11
251,Lisakovsk,KZ,2022-07-17 22:31:01,52.5369,62.4936,66.9,75,100,7.56
252,Husavik,IS,2022-07-17 22:31:02,66.0449,-17.3389,46.33,91,99,4.41
253,Naryan-Mar,RU,2022-07-17 22:31:02,67.6713,53.087,58.68,87,99,3.29
254,Bethanien,NA,2022-07-17 22:31:03,-26.502,17.1583,57.78,29,1,7.85
255,Zambezi,ZM,2022-07-17 22:31:03,-13.5432,23.1047,52.9,45,2,7.09
256,China,MX,2022-07-17 22:31:04,25.7,-99.2333,101.5,20,3,20.89
