City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Beloye,UA,48.4952,39.0505,60.67,80,41,13.58,scattered clouds
327,Teya,RU,60.3778,92.6267,67.17,61,67,5.28,light rain
328,Geraldton,AU,-28.7667,114.6,64.81,88,75,12.66,broken clouds
329,Bonavista,CA,48.6499,-53.1147,59.25,93,100,20.74,light rain
330,Diffa,NE,13.3154,12.6113,75.76,74,97,9.33,overcast clouds
331,Sinnamary,GF,5.3833,-52.95,76.87,86,28,5.28,scattered clouds
332,Itoman,JP,26.1247,127.6694,89.62,79,20,10.36,few clouds
333,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,48,0,24.16,clear sky
334,Guiren,CN,33.6697,118.1889,83.91,68,62,5.93,broken clouds
335,Mandan,US,46.8267,-100.8896,68.95,71,0,6.91,clear sky
336,Ndjole,GA,-0.1783,10.7649,72.36,91,100,2.98,overcast clouds
337,Kati,ML,12.7441,-8.0726,72.81,94,100,2.26,light rain
338,San Cristobal,VE,7.7669,-72.225,68.18,97,67,4.05,broken clouds
339,Mosquera,CO,4.7059,-74.2302,51.89,87,20,4.61,few clouds
340,Joao Camara,BR,-5.5375,-35.8197,68.83,98,100,6.55,overcast clouds
341,Tokmak,UA,47.2514,35.7058,61.43,69,38,14.05,scattered clouds
342,Sao Filipe,CV,14.8961,-24.4956,75.18,90,46,4.94,scattered clouds
343,Basoko,CD,1.2391,23.616,70.34,94,38,2.95,scattered clouds
344,Bani,DO,18.2833,-70.3333,80.85,82,24,11.45,few clouds
345,Camacupa,AO,-12.0167,17.4833,51.24,50,16,4.7,few clouds
346,Moron,AR,-34.6534,-58.6198,58.96,94,0,4.47,clear sky
